2.0625000 58
0.0000000 1 1
0.0000000 2 2
0.0000000 3 1
0.0000000 4 1
0.0000000 5 1
0.0000000 6 2
0.0000000 7 2
0.0000000 8 2
0.0000000 9 2
0.0000000 10 2
0.0000000 11 2
0.0000000 12 2
0.0000000 13 2
0.0000000 14 2
0.0000000 15 1
0.0000000 16 2
0.0000000 17 1
0.0000000 18 2
0.0000000 19 1
0.0000000 20 1
0.2500000 5 0
0.2500000 10 0
0.2500000 19 0
0.3333333 7 0
0.3333333 18 0
0.3750000 6 0
0.3750000 11 0
0.3750000 12 0
0.3750000 14 0
0.3750000 15 0
0.4166667 9 0
0.4166667 20 0
0.6562500 2 0
0.6562500 16 0
0.6666667 13 0
0.6666667 17 0
1.9583333 8 0
2.0625000 1 0
2.0625000 1 0
2.0625000 2 0
2.0625000 3 0
2.0625000 4 0
2.0625000 5 0
2.0625000 6 0
2.0625000 7 0
2.0625000 8 0
2.0625000 9 0
2.0625000 10 0
2.0625000 11 0
2.0625000 12 0
2.0625000 13 0
2.0625000 14 0
2.0625000 15 0
2.0625000 16 0
2.0625000 17 0
2.0625000 18 0
2.0625000 19 0
2.0625000 20 0

4.2840041 46
0.0000000 1 74165
0.0000000 2 959098
0.0000000 3 416164
0.0000000 4 750418
0.0000000 5 560819
0.0000000 6 380472
0.0000000 7 6378
0.0000000 8 707942
0.0000000 9 426062
0.0000000 10 172142
0.0000000 11 203527
0.0000000 12 182369
0.0000000 13 282127
0.0000000 14 612450
0.0000000 15 672941
0.0807044 3 0
0.0807044 9 0
0.0807044 10 0
0.1791858 2 35344
0.1791858 6 14021
0.1791858 15 24799
0.3027218 12 0
0.3027218 14 0
0.4819379 1 0
0.4819379 8 0
0.4819420 2 0
0.4819420 6 0
0.4819420 15 0
0.8373057 4 0
2.7587335 5 6378
4.2840041 13 6378
4.2840041 1 0
4.2840041 2 0
4.2840041 3 0
4.2840041 4 0
4.2840041 5 0
4.2840041 6 0
4.2840041 7 0
4.2840041 8 0
4.2840041 9 0
4.2840041 10 0
4.2840041 11 0
4.2840041 12 0
4.2840041 13 0
4.2840041 14 0
4.2840041 15 0

5.9673429 340
0.0000000 1 417446
0.0000000 2 991137
0.0000000 3 407659
0.0000000 4 781779
0.0000000 5 675941
0.0000000 6 426664
0.0000000 7 214626
0.0000000 8 498007
0.0000000 9 36141
0.0000000 10 383762
0.0000000 11 400797
0.0000000 12 944626
0.0000000 13 143900
0.0000000 14 893333
0.0000000 15 644797
0.0000000 16 625016
0.0000000 17 789233
0.0000000 18 45265
0.0000000 19 299867
0.0000000 20 134537
0.0000000 21 785011
0.0000000 22 462108
0.0000000 23 968381
0.0000000 24 63653
0.0000000 25 549078
0.0000000 26 736103
0.0000000 27 515154
0.0000000 28 778422
0.0000000 29 452722
0.0000000 30 919664
0.0000000 31 504482
0.0000000 32 349024
0.0000000 33 905046
0.0000000 34 934083
0.0000000 35 225925
0.0000000 36 848981
0.0000000 37 171192
0.0000000 38 649921
0.0000000 39 52350
0.0000000 40 173828
0.0000000 41 553490
0.0000000 42 750258
0.0000000 43 650552
0.0000000 44 812452
0.0000000 45 434487
0.0000000 46 490614
0.0000000 47 462418
0.0000000 48 429078
0.0000000 49 463570
0.0000000 50 50770
0.0000000 51 211574
0.0000000 52 309588
0.0000000 53 436202
0.0000000 54 885661
0.0000000 55 502972
0.0000000 56 36225
0.0000000 57 814794
0.0000000 58 207269
0.0000000 59 488983
0.0000000 60 804961
0.0000000 61 964150
0.0000000 62 344275
0.0000000 63 623906
0.0000000 64 114823
0.0000000 65 166625
0.0000000 66 391286
0.0000000 67 398838
0.0000000 68 868266
0.0000000 69 926228
0.0000000 70 29687
0.0000000 71 818298
0.0000000 72 942280
0.0000000 73 650368
0.0000000 74 987689
0.0000000 75 260835
0.0000000 76 383189
0.0000000 77 545263
0.0000000 78 791204
0.0000000 79 56396
0.0000000 80 42149
0.0000000 81 76146
0.0000000 82 558572
0.0000000 83 887452
0.0000000 84 555580
0.0000000 85 667261
0.0000000 86 281007
0.0000000 87 615479
0.0000000 88 456685
0.0000000 89 475095
0.0000000 90 400844
0.0000000 91 300517
0.0000000 92 784017
0.0000000 93 336217
0.0000000 94 306947
0.0000000 95 882098
0.0000000 96 86178
0.0000000 97 298078
0.0000000 98 881721
0.0000000 99 777327
0.0101923 2 0
0.0104776 61 0
0.0106942 12 0
0.0111484 72 36141
0.0113082 14 0
0.0116347 68 0
0.0124500 69 114823
0.0128670 57 29687
0.0129775 28 0
0.0129958 99 0
0.0134647 42 0
0.0151395 85 0
0.0156749 71 173828
0.0161915 63 0
0.0177153 74 417446
0.0178995 43 86178
0.0180854 82 0
0.0181828 84 0
0.0183981 25 0
0.0186110 34 391286
0.0196097 27 0
0.0200846 55 0
0.0212631 89 0
0.0217917 49 0
0.0218460 47 0
0.0219689 30 0
0.0221203 88 0
0.0223237 33 0
0.0231590 53 0
0.0241650 95 464055
0.0247805 3 0
0.0247805 95 56396
0.0252018 90 0
0.0252048 11 0
0.0263236 10 0
0.0283703 46 134537
0.0299527 26 398838
0.0301628 98 211890
0.0313339 15 0
